"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"188","150230",85500,44830,40670,0,20751,18023,6056,19815,16091,4764,0,0,0
"189","150240",326511,176459,150052,0,82859,66326,27274,73437,56240,20375,0,0,0
"190","150250",20004,9909,10095,0,5063,3485,1361,5480,3457,1158,0,0,0
"191","150260",24437,12394,12043,0,5837,4903,1654,5912,4694,1437,0,0,0
"192","150270",70852,36438,34414,0,17143,13047,6248,16722,12059,5633,0,0,0
"193","150275",50799,25494,25305,0,11553,9528,4413,12069,9469,3767,0,0,0
"194","150276",7265,3464,3801,0,1897,1274,293,2035,1346,420,0,0,0
"195","150277",23037,11632,11405,0,5736,4403,1493,5714,4187,1504,0,0,0
"196","150280",58415,28839,29576,0,13119,10893,4827,14155,11098,4323,0,0,0
"197","150285",28956,14331,14625,0,6408,5419,2504,6818,5532,2275,0,0,0
"198","150290",74052,38741,35311,0,16028,14140,8573,15536,12972,6803,0,0,0
"199","150293",64964,34447,30517,0,16409,13011,5026,15243,11059,4215,0,0,0
"200","150295",24459,12024,12435,0,6648,4012,1364,6964,4003,1468,0,0,0
"201","150300",19747,9742,10005,0,3996,3352,2394,4321,3434,2250,0,0,0
"202","150304",19282,9620,9662,0,5028,3594,998,5094,3471,1097,0,0,0
"203","150307",39829,21017,18812,0,9827,8197,2993,9375,7127,2310,0,0,0
"204","150309",37154,19579,17575,0,9658,7396,2525,8940,6445,2190,0,0,0
"205","150310",45446,23161,22284,1,11017,8311,3833,11217,7933,3134,1,0,0
"206","150320",84298,43937,40361,0,18864,15733,9340,18145,14657,7559,0,0,0
"207","150330",107168,55682,51486,0,25594,20341,9747,24890,18822,7774,0,0,0
"208","150340",21521,10995,10526,0,4660,3877,2458,4760,3750,2016,0,0,0
"209","150345",46814,23712,23097,5,11938,8951,2823,12141,8395,2561,3,2,0
"210","150350",56995,28506,28489,0,12070,10401,6035,12982,10601,4906,0,0,0
"211","150360",118229,62142,56087,0,35382,22673,4087,32673,19508,3906,0,0,0
"212","150370",57421,29090,28331,0,14754,10806,3530,14882,10227,3222,0,0,0
"213","150375",14130,6777,7353,0,3745,2357,675,4128,2487,738,0,0,0
"214","150380",63107,32983,30124,0,16399,12009,4575,15651,10680,3793,0,0,0
"215","150390",97389,48844,48545,0,22097,18767,7980,22906,18696,6943,0,0,0
"216","150400",51283,25489,25794,0,10911,9417,5161,11419,9560,4815,0,0,0
"217","150405",60078,31618,28460,0,14764,12226,4628,13731,10818,3911,0,0,0
"218","150410",20466,10312,10154,0,3993,3639,2680,4148,3657,2349,0,0,0
"219","150420",369812,191938,177874,0,98182,71027,22729,91746,64802,21326,0,0,0
"220","150430",45287,22364,22923,0,10798,8510,3056,11493,8683,2747,0,0,0
"221","150440",47370,23742,23628,0,10469,8640,4633,10923,8706,3999,0,0,0
"222","150442",185944,99945,85999,0,44482,38909,16554,40664,33594,11741,0,0,0
"223","150445",28557,14507,14050,0,7445,5307,1755,7358,4988,1704,0,0,0
"224","150450",30880,16101,14779,0,7897,5631,2573,7901,5136,1742,0,0,0
"225","150460",48900,25100,23800,0,11749,9353,3998,11695,8781,3324,0,0,0
"226","150470",100737,50720,50017,0,25695,18567,6458,26250,18088,5679,0,0,0
"227","150475",32563,16520,16043,0,7441,6195,2884,7638,5830,2575,0,0,0
"228","150480",115666,58620,57046,0,27151,21935,9534,27643,21009,8394,0,0,0
"229","150490",50555,25882,24673,0,13284,9406,3192,13224,8915,2534,0,0,0
"230","150495",23551,12353,11198,0,6449,4727,1177,5982,4179,1036,0,0,0
"231","150497",21020,10482,10538,0,5294,3872,1316,5486,3808,1244,0,0,0
"232","150500",30412,15571,14841,0,6525,5490,3556,6494,5297,3050,0,0,0
"233","150503",33898,17250,16648,0,9593,6203,1454,9318,5799,1531,0,0,0
"234","150506",56485,28926,27559,0,15824,10086,3016,15328,9297,2934,0,0,0
"235","150510",107870,54147,53723,0,22906,19809,11432,24353,19860,9510,0,0,0
"236","150520",58603,29362,29241,0,13501,10832,5029,14449,10752,4040,0,0,0
"237","150530",130298,67051,63247,0,29161,24431,13459,29228,22930,11089,0,0,0
"238","150540",33280,17208,16072,0,7895,6906,2407,7770,6480,1822,0,0,0
"239","150543",36346,18153,18193,0,9724,6791,1638,9601,6729,1863,0,0,0
"240","150548",33258,16289,16969,0,8532,6051,1706,8877,6117,1975,0,0,0
"241","150549",7546,3802,3744,0,1936,1437,429,1976,1366,402,0,0,0
"242","150550",153280,80316,72964,0,39950,29755,10611,37873,25950,9141,0,0,0
"243","150553",388732,194139,194593,0,95791,76184,22164,95282,76378,22933,0,0,0
"244","150555",10349,5107,5242,0,2578,1909,620,2708,1922,612,0,0,0
"245","150560",16440,8249,8191,0,3412,2955,1882,3557,2973,1661,0,0,0
"246","150563",11241,5597,5644,0,2892,2114,591,3062,2024,558,0,0,0
"247","150565",21025,10465,10560,0,5017,3844,1604,5318,3886,1356,0,0,0
"248","150570",49578,25160,24418,0,10538,9065,5557,11006,8911,4501,0,0,0
"249","150580",80837,43141,37695,1,21118,14875,7148,19936,12773,4986,1,0,0
"250","150590",41614,21986,19626,2,10776,8034,3176,10449,6910,2267,1,1,0
"251","150600",57694,29460,28234,0,13468,10606,5386,13821,10078,4335,0,0,0
